2025-08-25 23:33:57 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1235 ms
2025-08-25 23:33:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-25 23:33:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-08-25 23:33:58 [main] INFO  com.uday.task1.Task1Application - Started Task1Application in 2.254 seconds (process running for 2.834)
2025-08-25 23:34:18 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-25 23:34:18 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-25 23:34:18 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-08-25 23:34:18 [http-nio-8080-exec-1] INFO  com.uday.task1.HomeAspect - Before executing home method
2025-08-25 23:34:18 [http-nio-8080-exec-1] INFO  com.uday.task1.HomeAspect - Successfully executed home method
2025-08-25 23:34:18 [http-nio-8080-exec-1] INFO  com.uday.task1.HomeAspect - Response from home method: Hello World!
2025-08-25 23:34:18 [http-nio-8080-exec-1] INFO  com.uday.task1.HomeAspect - After returning from home method
2025-08-25 23:34:18 [http-nio-8080-exec-1] INFO  com.uday.task1.HomeAspect - Method execution completed
2025-08-25 23:34:29 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-08-25 23:34:29 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
